題號,題目,選擇A,選擇B,選擇C,選擇D,答案,圖片
234,同一線路的交流電線應該放在同一金屬導管內，其原因是防止：,產生渦流,電路過載,安裝困難,電壓降過大,A,
235,無護套的電線只可：,用於明線上,藏於耐熱材料內,藏於導管或線槽內,藏於水泥做成的線槽內,C,
236,電線所採用的導體材料最重要的具備條件是：,防水,防火,電阻低,電阻高,C,
237,目視檢查手提電器之軟線的目的是確定電線：,有沒有受損,長度適中,載流量合適,極性正確,A,
238,一般標準三芯軟線，其導體絕緣皮的顏色分別是：,棕色、藍色、黃色,紅色、藍色、綠色,棕色、藍色、黃綠色,紅色、黑色、黃色,C,
239,固定佈線，不可使用哪種電線？,明線,多芯線,單支線,軟線,D,
240,線槽內的電線應為：,明線,軟線,鋼線外層,單支線,D,
241,電纜的散熱速度與下列那些項目有關：,周圍溫度及安裝方法,電纜直徑,電纜長度,電機重量,A,
242,英國標準BS6004電線，在英國電機工程師學會電線表內以何種溫度作參考：,25°C,30°C,35°C,40°C,B,
243,低溫橡膠電纜的最高工作溫度是：,60°C,65°C,70°C,73°C,A,
244,英國標準B級絕緣的最高容許操作溫度是：,90°C,95°C,110°C,130°C,D,
245,接駁三相100A或以下直駁式電錶銅導體之最大截面積為：,16mm,25mm²,35mm²,50mm²,C,
246,根據《香港電線有限公司》規定，三相裝置其總開關及熔絲額定為160A時，接駁於直駁式電錶之出入錶線應為：,25mm²,35mm²,50mm²,70mm²,D,
247,電力條例是香港法例第幾章：,456章,406章,702章,506章,B,
248,申請為註冊電業承辦商，必須：,僱用一名註冊電業工程人員,必須持有電工C牌,必須是註冊電業工程人員,必須有一名合夥人是,A,
249,持有電工A牌的電工可於下列那項低壓裝置進行工作：,低於三相100A,低於三相200A,低於三相300A,低於三相400A,D,
250,A0級註冊電力工程人員的「0」字是代表：,設計工程,安裝工程,安裝及維修工程,所有電力工程,D,
251,一名註冊電工欲在霓虹光管招牌裝置進行工程，他須持有那准許編碼：,OT,OC,𝚽,NS,D,
252,一個電工要進行安裝固定高壓電力裝置，根據機電工程署「註冊電業工程人員」規例，他須持有下列那級電力工程資格，才可以安裝此類電器裝置？,A級,C級,H級,R級,C,
253,進入電掣房的人士都必須：,自我授權,不需授權,經過授權,機電署註冊人士,C,
254,所有臨時電氣裝置的期限不能超過：,兩個月,三個月,六個月,一年,B,
255,多少安培或以上的電掣房要安裝簡單電路圖：,50安培,100安培,200安培,400安培,B,
256,單相電力裝置，其預料負荷超過多少安培時，則可申請安裝三相四線供電：,30A,60A,100A,200A,B,
257,那項裝置不包括在《IEE佈線規例》內？,醫院,避雷設備,上升總線,車房,B,
258,「工作守則」之主要目的是：,出版提供技術書,為半熟練之電業工程人員提供技術指引,為有興趣參與成為電業工程人員提供技術指引,電業工程人員就如何符合《電力(線路)規則》內的各項法律規定印製,D,
259,兩枝電阻阻值均爲2歐姆，串聯後等效電阻值為：,2歐姆,1歐姆,4歐姆,3歐姆,C,
260,兩枝電阻阻值均爲2歐姆，並聯後等效電阻值為：,2歐姆,1歐姆,4歐姆,3歐姆,B,
261,有三電阻串聯接於一電源，若中間的電阻變大，則電路的總電流？,變大,變小,加強,中斷,B,
262,A、B兩點電壓為：,110V,64V,55V,0V,A,Q262.png
263,V之電壓為：,110V,220V,55V,0V,B,Q263.png
264,有兩個容量分別為15微法拉及30微法拉的電容器，並聯後其總容量為多少？,10微法拉,15微法拉,30微法拉,45微法拉,D,
265,有兩個容量分別為15微法拉及30微法拉的電容器，串聯後其總容量為多少？,10微法拉,15微法拉,30微法拉,45微法拉,A,
266,電容器接於電路上，當工作頻率升高，容抗會：,升高,降低,不變,不穩定,B,
267,有一電阻其色環顏色為棕黑紅，其阻值為：,100Ω,1KΩ,10KΩ,100KΩ,B,
268,下列哪一項並非以歐姆為單位？,阻抗,電阻,電感,電抗,C,
269,為減少觸電危險，電容器應配有：,警報器,放電電阻,漏電跳制,自動斷路裝置,B,
270,電線溫度升高或長度增加會使：,電阻值不變，電流變小,電阻值變小，電流變大,電阻值不變，電流變大,電阻值變大，電流變小,D,
271,普通家庭電燈是採用甚麼方法接駁：,串聯,並聯,混聯,曼聯,B,
272,電容的單位是：,赫茲,焦耳,法拉,亨利,C,
273,電能的單位是什麼？,瓦特,庫倫,伏特,焦耳,D,
274,庫倫是什麼的單位？,電壓,電流,電阻,電量,D,
275,電流經過導體會產生磁場，電流經過線圈則產生什麼？,磁極,電磁鐵,動力,電動機,A,
276,具有很少自由電子的物質稱為：,絕緣體,導體,元素,化合物,A,
277,1mA(毫安)等於？,1A,0.1A,0.01A,0.001A,D,
278,1kΩ等於？,10^-3Ω,10^-6Ω,10^3Ω,10^6Ω,C,
279,1MΩ等於：,10^-3Ω,10^-6Ω,10^3Ω,10^6Ω,D,
280,一度電(1kwh)有多少焦耳(J)能量？,600J,60kJ,36kJ,3.6MJ,D,
281,萬用表用完後，應放置在何檔位：,ACV,DCV,OFF,無所謂,C,
282,電功率的單位是？,瓦特,焦耳,千瓦時,功率,A,
283,原子中帶負電荷的粒子是：,電子,質子,中子,核子,A,
284,裝甲電纜彎位內彎半徑最少為其外直徑多少倍：,3倍,4倍,5倍,6倍,D,
285,線槽闊度不超過100毫米，其鋼板厚度最少為：,1.0毫米,1.2毫米,1.5毫米,3毫米,B,
286,安裝鋼導管每隔多少米直喉長度設置過路箱：,10米,15米,20米,30米,B,
287,安裝燈喉時，每隔多少個彎位應設置一個過路箱？,1,2,3,4,B,
288,380/220伏供電系統的最大預期短路電流是：,24KA,33KA,40KA,80KA,C,
289,上升總線於頂樓的預期短路電流會：,最大,最小,不變,無影響,B,
290,380V供電力系統之最大預期故障電流為：,24仟伏安(24KVA),40仟安(40KA),40兆安(40MA),24兆伏安(24MVA),C,
291,直接自電力公司變壓器獲取低壓電力之總開關式熔斷器，其最低之斷流容量為：,20KA,40KA,60KA,80KA,B,
292,電力公司要求用戶的功率因數最少為：,0.75,0.8,0.85,0.95,C,
293,若利用電容提高功率因數，電容必須與設備：,並聯連接,串聯連接,混聯連接,沒有要求,A,
294,光管電路中電容的作用是：,增加視在功率,提升功率因數,減少功率因數,減少總掣的斷流容量,B,
295,所謂一度電的意思，就是把1000W燈泡接於適當電源後連續使用：,半小時,一小時,一小時半,兩小時,B,
296,電流(I)、電壓(V)及電阻(R)的關係是：,IxR=V,IxV=R,VxR=I,I+R=V,A,
297,電路某電阻為200歐姆，電阻兩端的電壓為220伏特，求該電阻器的電功率？,240瓦特,242瓦特,244瓦特,246瓦特,B,
298,一燈泡發熱時的阻值為1k2接於220V之電源，其電流為？,200mA,4545A,220mA,5A,C,
299,計算電功率時，可用那一種公式？,P=IxR,P=VR,P=VxR²,P=I²xR,D,
300,100W燈泡每天使用8小時，30天後用電若干(每度電1元)：,10元,24元,80元,100元,B,
301,電流增加三倍，則功率是原來的：,3倍,6倍,9倍,12倍,C,
302,220V100W燈泡若接於110V電源，其電功率為：,150W,25W,100W,200W,B,
303,串聯200W、100W、60W和40W燈泡接駁於220V電源時那個較光？,200W,100W,60W,40W,D,
304,並聯200W、100W、60W和40W燈泡接駁220V電源時那個較光？,200W,100W,60W,40W,A,
305,電壓為220V的電源，供電予11支80W的光管，功率因數為0.5，問電流需求量大約為多少？,7A,8A,9A,10A,D,
306,一個10歐姆電阻接於220伏特電壓上，其消耗功率爲：,484瓦,4.84瓦特,484瓦特,4840瓦特,D,
307,2.2千瓦220伏特的電熱水器，其電阻值等於多少歐姆？,21歐姆,22歐姆,23歐姆,24歐姆,B,
308,電力公司是以下列那個數值計算電費？,千瓦小時,千瓦,千伏安,瓦小時,A,
309,根據電力公司供電則例，每一燈位應作多少瓦特計算：,60瓦特,100瓦特,200瓦特,無規定,B,
310,每個5AMCB最多可連接多少個燈位：,10個,13個,14個,15個,A,
311,變壓器的主要作用是什麼？,升壓輸送電力,變流,變壓及變流,變壓,C,
312,右圖符號代表什麼？,雙繞組變壓器,單繞組變壓器,自耦式變壓器,變壓器,A,Q312.png
313,變壓器圈數比為10:1，當其輸入功率為100瓦，其輸出功率為：,10瓦,100瓦,10千瓦,1千瓦,B,
314,一個升壓變壓器之圈數比為1:5，如初級電流為20安培，其次級電流應為多少安培？,4.5安培,4安培,5安培,5.5安培,B,
315,理想的變壓器其電流之變化與圈數成：,正比,反比,無關,不一定,B,
316,一個200V/10V之變壓器圈數比是：,0.043055556,0.055555556,0.084027778,0.834027778,D,
317,以下那一個圖是表示自耦式變壓器？,圖A,圖B,圖C,圖D,D,Q317.png
318,後備發電機連接大廈的供電系統應採用：,三極及地連于開關,四極連鎖開關,普通開關,無規定,B,
319,發電機的後備電源的中性應接往哪裡？,用戶的中性線連接,電力公司,機電署,消防公司,A,
320,無電刷式發電機的電力是由那部份引出到負載？,碳刷,定子,銅環,轉子,B,
321,發電機在停電時的供應用途是：,中央冷氣,消防及緊急用電,照明系統,載貨電梯,B,
322,電力公司要求用戶之電力裝置若超過多少安培則須使用電流互感器連接電錶：,30A,100A,200A,60A,B,
323,電流表拆除互感器須將次級短路，其目的是避免互感器產生：,高壓,高頻,高阻,高感,A,
324,於公眾地方安裝的電流互感器箱，其高度距離地面不應超過：,2.6米,3米,3.6米,3.8米,A,
325,根據BS3939，表示熔斷器的符號為：,符號A,符號B,符號C,符號D,D,Q325.png
326,在多塵的環境中，電力裝置的外殼須有那項程度的保護：,IP00,IPX4,IP4X,IP5X,D,
327,壓縮空氣為第幾類危險品：,第二類,第三類,第四類,第五類,A,
328,右圖符號代表什麼？,單重絕緣,雙重絕緣,匯流排,線槽,B,Q328.png
329,手提電器工具在甚麼情形下，是可以沒有水線？,操作電壓低於220V,雙重絕緣構造,不影響操作,由持有機電署所發牌照的電工使用,B,
330,下圖那個元件是用電感方式工作？,元件A,元件B,元件C,元件D,D,Q330.png
331,變壓器之鐵芯多以鐵片重疊而成，其目的是：,幫助散熱,減低損耗,增加頻率響應,主要製作上較為容易,B,
332,下列那一項是直流電動機的優點：,結構簡單,速度較穩定,有較大扭力及容易控制速度,同等大小有較大的功率輸出,C,
333,電動機應有設備，作為自動隔離之作用：,微型斷路器,接接觸器,熔斷器,超載保護,B,
334,電動機，須安裝甚麼以作安全維修之用：,超載保護,熔斷器,警告牌,隔離開關,D,
335,電動機最高容許起動電流範圍為其滿載電流多少倍(非架空電纜供電)？,0.5-4倍,1-4倍,2-6倍,2.5-6倍,D,
336,三相電動機若以單相供電，結果：,不轉動,正常,轉速慢,反轉方向,A,
337,哪一個符號是代表電動機？,符號A,符號B,符號C,符號D,C,Q337.png
338,電功率單位中一匹等於多少千瓦特：,746,0.75,0.37,0.746,D,
339,右面符號是代表何種電磁開關掣：,常閉,常開,開關,熔絲,B,Q339.png
340,繼電器常閉接點(N.#C.)是指接觸點：,全部時間均閉合,全部時間均開啟,當繼電器通電時才閉合,當繼電器斷電時才閉合,D,Q340.png
341,一個「多點遙控」的電動機起動時，其接駁應：,所有“起動”掣及“停止”掣均串聯接駁,所有“起動”掣及“停止”掣均並聯接駁,所有“起動”掣串聯接駁“停止”掣並聯接駁,所有“起動”掣並聯接駁“停止”掣串聯接駁,D,
342,電磁接觸器若在啟動時發出聲響，即表示：,其中有一相電有對地故障,其中有一相電的保險絲斷了,電磁接觸器的磁場表面骯髒,供,C,
343,過載保護器應用於單相或三相感應電動機上是：,控制電阻,控制電容,控制電壓,控制電流,D,
344,一個「星-角」起動的三相感應電動機，若其滿載容許的線電流為20A，則過載保護器應調較至：,7A,12A,20A,28A,B,
345,電動機的熔斷器應能承受電動機起動時的什麼而不致燒斷：,電流,電壓,電阻,電弧,A,
346,頻率50週之4極電動機，其同步轉速是：,1000轉,1500轉,3000轉,4000轉,B,
347,多大功率的電動機須加過流保護裝置：,0.37W,0.37KW,0.375KW,37KW,B,
348,工業用途的電動機，利用三相比單相較好的原因是什麼？,起動線圈較有效率,三相電機有較佳的工作特性,三相電機安裝較容易,三,B,
349,接於電動機之三條三相電源任意交換兩條，則轉向會：,反轉,不變,不定,不動,A,
350,窗口式冷氣機內的壓縮電動機，當控制器在「Lowcool」的位置時所耗的電功率比「Highcool」的位置為：,高,低,相同,不一定,B,
351,用「星角」起動器接駁電動機，起動電流與直接起動電流之比率為：,1:03,3:01,1:02,2:01,A,
352,電動機使用「星角」起動的目的是：,減低耗電,減低起動電流,增加起動電流,方便起動,B,
353,電動機直接起動電流是滿載電流的多少倍？,2-3倍,4-7倍,8-9倍,10-12倍,B,
354,從天線系統取電的單相電動機若不超過多少千瓦可用直接起動器來起動：,1.5KW,2.2KW,3.8KW,11KW,A,
355,從地線系統取電的單相電動機若不超過多少仟瓦可用直接起動器來起動：,1.5KW,2.2KW,3.8KW,11KW,B,
356,從天線系統取電的三相電動機若不超過多少仟瓦可用直接起動器來起動：,1.5KW,2.2KW,3.8KW,11KW,C,
357,從地線系統取電的三相電動機若不超過多少千瓦可用直接起動器來起動：,1.5KW,2.2KW,3.8KW,11KW,D,
358,若要將三相電動機接成「星-角」起動電路，至少需要多少個接觸器？,1個,2個,3個,4個,C,
359,運行中的三相鼠籠式電動機如一相開路，則：,電流不穩定,扭力減弱,電壓不穩定,扭力增加,B,
360,三相星形接線中，線電壓是相電壓的多少倍：,√3,0.7321,0.637,0.5773,A,
361,電動機𝚫/Y名牌346/200伏特表示：,任意可接200伏特或346伏特,直接起動電壓200伏特，Y形起動346伏特,不可接200伏特/346伏特,𝚫形接法繞組電壓為346伏特，Y形接法繞組電壓為200伏特,D,
362,若一部三相感應電動機不能起動，以下那一項不是它的原因：,熔絲熔斷,轉子線圈開路,定子線圈開路,定子與轉子間開路,D,
363,三相感應電動機以星形方式起動，其線電流比角形起動會大約減少：,2月1日,3月1日,4月1日,5月1日,B,
364,一部15KW的三相交流電動機所用的線電壓為346V，假設此電動機的功率因數為0.85，求此電動機所需的線電流大約為：,25A,30A,40A,50A,B,
365,電力公司規定由2.2KW至11KW之三相電動機，若電源來自電力公司的地線，其啟動電流不得超過滿載電流的：,2.5倍,4倍,6倍,8倍,C,
366,下列那一種是BS4999採用的標誌以表示角形接駁的三相感應電動機的接駁終端：,"L1,L2,L3","A,B,C","R,Y,B","U,V,W",D,
367,以下那一種電動機不能於空載時使用：,串激電動機,並激電動機,複激電動機,以上皆不是,A,
368,三相四線交流電的開關器，其連動開關：,只需截斷相導線,只需截斷中性線,必須截斷相線及中性線,截斷何種導線，視當時環境而,A,
369,若三相低壓掣櫃連接多過一個電力公司變壓器，其總開關必須是：,三極式,三極式並有機械性連鎖,四極式,四極式並有機械性連鎖,D,
370,三相升壓變壓器需安裝：,普通開關,四極連鎖開關,三極及地連于開關,無規定,B,
371,安裝配電箱時用電鑽，應採取甚麼安全措施：,配戴安全帽,配戴眼罩,配戴手套,不需任何措施,B,
372,電線終端或接頭的接駁：,要緊固地安裝,要有很好的絕緣保護,要有良好的機械和電氣性能,在完成後須要有良好信譽的公司簽署,C,
373,在導線的接駁口上錫，其主要作用是：,使接口美麗,使導線不能分開,使接口有機械連接能力,使接口有良好的電氣性能,D,
374,因電氣產生的火警，最適合使用的滅火設備是什麼？,水,泡沫,沙,二氧化碳,D,
375,手部流血不止時，用下列哪種方法最有效：,高舉受傷的手,用止血帶止血,加壓於傷口處,召救傷車,C,
376,搶救觸電者的方法是立刻關上有關電掣，若傷者發覺已暈厥及停止呼吸，應：,立刻上前將傷者移離險境,立刻報警,大聲呼叫求救,立刻上前使用人工呼吸,D,
377,人體觸電致死，是由於那個器官受嚴重傷害？,肝臟,心臟,腎臟,腦,B,
378,觸電是由於人體接觸電力時，受到下列那一項衝擊？,電阻,電流,電壓,電功率,B,
379,人體觸電時，其受傷程度與人體的那些因素有關：,皮膚厚薄,體毛多少,體重有關,高度有關,A,
380,下列那組電池之輸出電壓最高：,組合A,組合B,組合C,組合D,B,Q380.png
381,右圖之電錶讀數為：,0V,20V,-20V,10V,A,Q381.png
382,下列那一種是電錶的正確接駁方法？,接法A,接法B,接法C,接法D,D,Q382.png
383,住宅照明系統設備，其參差因數為：,0.5,0.66,0.75,0.9,B,
384,寫字樓照明系統設備，其參差因數為：,0.5,0.6,0.75,0.9,D,
385,註冊電業工程人員在被扣滿多少分數後，處長會發警告信給他？,5分,10分,15分,3分,B,
386,一個註冊電業工程人員第一次被扣10分，第二次被扣5分，他總數被扣多少分？,5分,7.5分,10分,15分,B,
387,註冊電業工程人員的最少扣分是多少？,1分,3分,5分,10分,A,
388,如果閉合所有開關：,"L1,L2都會亮","L1,L2都不會亮",只有L1會亮,只有L2會亮,B,Q388.png
389,安裝插座距離地面不少於：,50mm,75mm,150mm,200mm,C,
390,一電燈可在兩處不同地方開關之電路，要使用哪些掣？,兩個單路掣,兩個雙路掣,一個單路掣和一個雙路掣,一個雙路掣和一個中途,B,
391,電氣裝置的目視檢查是為確定：,導體連續,絕緣妥當,接地阻抗妥當,電線及終端妥當,D,
392,最能耐火的裝置是哪種導管？,PVC,無縫金屬,焊接,金屬,B,
393,一個理想變壓器之圈數比為10:1，當輸入功率是10W時，輸出功率大約為：,0.1W,1W,10W,100W,C,
394,請說明新電線顏色代碼的顏色系列：,紅/黃/藍/黑/(黃-綠),棕/黑/灰/藍/(黃-綠),黑/棕/紅/藍/(黃-綠),棕/藍/灰/黑/(黃-綠),B,
395,在多相供電的單相裝置的電路中，相線及中性線只可使用下列顏色：,棕(相)-藍(中)或黑(相)-藍(中)或灰(相)-藍(中),棕(相)-藍(中)或灰(相)-藍(中),棕(相)-藍(中),以上皆可,C,
396,在現有單相裝置(電線顏色為紅、黑色)進行加裝新顏色電線工程時，除安裝警告性告示牌外，在新舊電線接駁處還需加裝甚麼標記？,不需加裝標記,新電線近接駁處的相線及中性線需分別加裝L及N的標記,舊電線近接駁處的相線及中性線需分別加裝L及N的標記,新舊電線近接駁處的相線及中性線需分別加裝L及N的標記,A,
397,若在採用舊顏色電線的現有單相配電箱加裝新顏色電線，請說明標示舊色電線的正確方法：,現有配電箱內的電線需要更換,新電線需要加設標記,舊電線需要加設標記,在現有舊顏色電線加設標記並非是強制性的規定,D,
398,在現有採用舊顏色代碼的單相裝置(舊顏色代碼為黃、黑色或藍、黑色)進行加裝工程時，新舊顏色代碼電線接駁處須作何種安全措施？(i)新電線需加裝標記(ii)舊電線需加裝標記(iii)接駁處或其上游配電箱須安裝警告性告示牌,(i),"(ii),(iii)","(i),(iii)",以上皆是,C,
399,在現有單相裝置(電線顏色為藍、黑色)進行加裝新顏色電線工程時，除安裝警告性告示牌外，在新舊電線接駁處還需加裝甚麼標記？,不需加裝標記,新電線近接駁處的相線及中性線需分別加裝L及N的標記,舊電線近接駁處的相線及中性線需分別加裝L及N的標記,新舊電線近接駁處的相線及中性線需分別加裝L及N的標記,B,
400,若有新舊顏色代碼電線接駁在一個三相裝置中：,在配電箱需安裝警告性告示牌,"新電線需在接駁處穿上L1,L2,L3及N的標記","舊電線需在接駁處穿上L1,L2,L3及N的標記","新舊電線需在接駁處穿上L1,L2,L3及N的標記",D,
